# Reviewed pin decisions (2026-09-25). Each pin was LOOKED AT in a rendered crop before deciding.
# Remove when the right label is not certain; relabel only when certain. See pin_fixes.py.
# module	slice	structure	x	y	action	reason
# Cadaver v2 re-audit (2026-09-25): ct-head-*, ct-thorax-*, ct-knee-axial, ct-knee-coronal 48-slice stacks.
# Every slice was LOOKED at in a numbered-pin sheet (not only pin_scan flags); doubtful pins zoomed.
# Slice numbers refer to atlas/<id>/v2. Keep lines record pin_scan flags reviewed and kept.
ct-head-axial	1	skull	31.6	53.7	remove	thin line outside the scalp at the vertex (external object), not skull
ct-head-axial	1	skull	44.3	34.6	remove	thin line outside the scalp at the vertex (external object), not skull
ct-head-axial	1	paranasal-sinus	36.4	43.7	remove	gap outside the scalp at the vertex, not a sinus
ct-head-axial	1	paranasal-sinus	39.5	69.4	remove	gap outside the scalp at the vertex, not a sinus
ct-head-axial	27	paranasal-sinus	62.9	21.9	remove	air under the nasal bone in the anterior nasal cavity, not certainly a sinus
ct-head-axial	28	paranasal-sinus	80.8	68.3	remove	mastoid air cells, not a paranasal sinus
ct-head-axial	29	paranasal-sinus	20.1	55.5	remove	external ear canal, not a paranasal sinus
ct-head-axial	29	paranasal-sinus	80.8	66.9	remove	mastoid air cells, not a paranasal sinus
ct-head-axial	30	paranasal-sinus	75.3	55.7	remove	external ear canal, not a paranasal sinus
ct-head-axial	30	paranasal-sinus	81.4	65.2	remove	mastoid air cells, not a paranasal sinus
ct-head-axial	31	paranasal-sinus	48.7	8.2	remove	air in the nasal vestibule, not a paranasal sinus
ct-head-axial	31	paranasal-sinus	79.8	56.5	remove	external ear canal, not a paranasal sinus
ct-head-axial	32	paranasal-sinus	47.3	12.1	remove	air in the nasal vestibule, not a paranasal sinus
ct-head-axial	32	paranasal-sinus	79.8	65.3	remove	mastoid air cells, not a paranasal sinus
ct-head-axial	33	paranasal-sinus	71.9	61.4	remove	mastoid air cells, not a paranasal sinus
ct-head-axial	33	paranasal-sinus	77.4	61.4	remove	mastoid air cells, not a paranasal sinus
ct-head-axial	34	skull	55.7	71.0	remove	at the craniocervical junction: occipital condyle or lateral mass of C1, not certain
ct-head-axial	34	paranasal-sinus	71.9	62.0	remove	mastoid air cells, not a paranasal sinus
ct-head-axial	34	paranasal-sinus	78.6	61.4	remove	mastoid air cells, not a paranasal sinus
ct-head-axial	35	skull	59.1	57.5	remove	C1 ring around the dens, a cervical vertebra, not skull
ct-head-axial	36	skull	48.4	53.8	remove	C1/C2 around the dens, a cervical vertebra, not skull
ct-head-axial	37	skull	40.7	57.8	remove	lateral mass of C1, a cervical vertebra, not skull
ct-head-axial	37	paranasal-sinus	50.2	24.6	remove	air in the oral cavity inside the dental arch, not a sinus
ct-head-axial	38	skull	35.7	33.4	remove	on a tooth crown, not bone of the skull
ct-head-axial	38	skull	48.6	55.7	remove	C2 body, a cervical vertebra, not skull
ct-head-axial	39	skull	32.1	29.4	remove	on a dental filling with streak artefact, not bone of the skull
ct-head-axial	39	skull	40.3	56.0	remove	cervical vertebral body, not skull
ct-head-axial	39	paranasal-sinus	32.7	35.2	remove	on the dental-filling streak artefact, not a sinus
ct-head-axial	40	skull	57.7	57.8	remove	cervical vertebral body, not skull
ct-head-axial	40	skull	59.7	22.8	remove	on a tooth, not bone of the skull
ct-head-axial	40	skull	62.4	33.0	remove	on a tooth with a metal filling, not bone of the skull
ct-head-axial	40	paranasal-sinus	28.2	31.3	remove	on the dental-filling streak artefact, not a sinus
ct-head-axial	40	paranasal-sinus	41.5	31.7	remove	on the dental-filling streak artefact, not a sinus
ct-head-axial	41	skull	48.7	56.3	remove	cervical vertebral body, not skull
ct-head-axial	41	skull	63.3	33.8	remove	on a tooth with a metal filling, not bone of the skull
ct-head-axial	41	paranasal-sinus	54.1	15.4	remove	air in front of the teeth (oral vestibule), not a sinus
ct-head-axial	41	paranasal-sinus	59.3	35.0	remove	on the dental-filling streak artefact, not a sinus
ct-head-axial	41	paranasal-sinus	64.5	30.7	remove	on the dental-filling streak artefact, not a sinus
ct-head-axial	41	paranasal-sinus	69.5	31.4	remove	on the dental-filling streak artefact, not a sinus
ct-head-axial	42	skull	58.7	61.4	remove	cervical vertebra lamina, not skull
ct-head-axial	43	skull	50.1	68.6	remove	cervical vertebra lamina, not skull
ct-head-axial	44	skull	37.9	61.5	remove	cervical vertebra, not skull
ct-head-axial	44	skull	48.7	57.3	remove	cervical vertebral body, not skull
ct-head-axial	44	paranasal-sinus	47.5	49.2	remove	oropharyngeal airway, not a sinus
ct-head-axial	45	skull	49.0	56.8	remove	cervical vertebral body, not skull
ct-head-axial	46	skull	34.6	57.0	remove	cervical vertebra, not skull
ct-head-axial	46	skull	49.0	56.8	remove	cervical vertebral body, not skull
ct-head-axial	47	skull	37.6	61.6	remove	cervical vertebra, not skull
ct-head-axial	47	skull	48.9	54.6	remove	cervical vertebral body, not skull
ct-head-axial	48	skull	37.9	61.7	remove	cervical vertebra, not skull
ct-head-axial	48	skull	53.6	58.2	remove	cervical vertebral body, not skull
ct-head-coronal	1	paranasal-sinus	49.6	65.2	remove	air in the nostril (nasal vestibule), not a paranasal sinus
ct-head-coronal	1	paranasal-sinus	52.9	64.4	remove	air in the nostril (nasal vestibule), not a paranasal sinus
ct-head-coronal	2	paranasal-sinus	48.7	65.3	remove	air in the nostril (nasal vestibule), not a paranasal sinus
ct-head-coronal	2	paranasal-sinus	53.3	67.4	remove	air in the nostril (nasal vestibule), not a paranasal sinus
ct-head-coronal	2	paranasal-sinus	54.7	64.4	remove	air in the nostril (nasal vestibule), not a paranasal sinus
ct-head-coronal	3	paranasal-sinus	48.7	63.8	remove	air in the nostril (nasal vestibule), not a paranasal sinus
ct-head-coronal	3	paranasal-sinus	54.8	64.0	remove	air in the nostril (nasal vestibule), not a paranasal sinus
ct-head-coronal	4	paranasal-sinus	48.6	64.6	remove	anterior nasal cavity below the nasal bones, not a paranasal sinus
ct-head-coronal	4	paranasal-sinus	55.2	63.2	remove	anterior nasal cavity below the nasal bones, not a paranasal sinus
ct-head-coronal	5	paranasal-sinus	47.7	65.3	remove	anterior nasal cavity below the nasal bones, not a paranasal sinus
ct-head-coronal	5	paranasal-sinus	56.7	65.7	remove	anterior nasal cavity below the nasal bones, not a paranasal sinus
ct-head-coronal	5	paranasal-sinus	62.7	83.3	remove	on the horizontal dark streak artefact at the lips, not a sinus
ct-head-coronal	6	paranasal-sinus	47.7	64.4	remove	anterior nasal cavity below the nasal bones, not a paranasal sinus
ct-head-coronal	7	skull	50.3	82.3	remove	on an upper incisor, a tooth, not bone of the skull
ct-head-coronal	7	skull	51.8	88.3	remove	on a lower incisor, a tooth, not bone of the skull
ct-head-coronal	7	paranasal-sinus	55.0	65.9	remove	anterior nasal cavity, not a paranasal sinus
ct-head-coronal	7	paranasal-sinus	56.8	84.9	remove	on the horizontal dark streak artefact between the teeth, not a sinus
ct-head-coronal	8	skull	43.6	88.5	remove	on the lower teeth, not bone of the skull
ct-head-coronal	8	paranasal-sinus	54.8	58.0	remove	nasal cavity with the turbinates, not a paranasal sinus
ct-head-coronal	8	paranasal-sinus	55.5	48.3	remove	top of the nasal cavity under the nasal bone, not certainly a sinus
ct-head-coronal	9	skull	43.3	90.8	remove	on the lower teeth, not bone of the skull
ct-head-coronal	13	skull	36.8	88.7	remove	at a metal-crowned tooth, not certainly bone of the skull
ct-head-coronal	13	skull	58.2	83.6	remove	on the horizontal streak artefact, no bone under the pin
ct-head-coronal	15	skull	63.5	78.1	remove	on an upper molar crown, a tooth, not bone of the skull
ct-head-coronal	15	paranasal-sinus	37.9	82.3	remove	on the horizontal dark streak artefact at the teeth, not a sinus
ct-head-coronal	16	skull	36.7	75.9	remove	on an upper molar with a filling, a tooth, not bone of the skull
ct-head-coronal	16	skull	63.6	85.1	remove	on a metal-filled molar, a tooth, not bone of the skull
ct-head-coronal	17	skull	62.9	76.4	remove	on an upper molar crown, a tooth, not bone of the skull
ct-head-coronal	17	skull	65.2	86.9	remove	on a metal-filled lower tooth in the streak artefact, not certainly bone
ct-head-coronal	17	paranasal-sinus	31.9	80.9	remove	on the horizontal dark streak artefact, not a sinus
ct-head-coronal	18	paranasal-sinus	40.0	81.9	remove	on the horizontal dark streak artefact, not a sinus
ct-head-coronal	19	paranasal-sinus	38.5	0.7	remove	air at the top edge above the vertex, not a sinus
ct-head-coronal	19	paranasal-sinus	63.2	83.6	remove	on the horizontal dark streak artefact, not a sinus
ct-head-coronal	20	paranasal-sinus	36.8	0.7	remove	air at the top edge above the vertex, not a sinus
ct-head-coronal	21	paranasal-sinus	35.7	0.4	remove	air at the top edge above the vertex, not a sinus
ct-head-coronal	22	paranasal-sinus	34.6	0.1	remove	air at the top edge above the vertex, not a sinus
ct-head-coronal	23	skull	32.3	0.7	remove	small blob at the top edge outside the scalp, not skull
ct-head-coronal	23	paranasal-sinus	33.4	0.1	remove	air at the top edge above the vertex, not a sinus
ct-head-coronal	24	paranasal-sinus	33.1	0.1	remove	air at the top edge above the vertex, not a sinus
ct-head-coronal	24	paranasal-sinus	45.9	91.8	remove	pharyngeal air below the skull base, not a sinus
ct-head-coronal	25	paranasal-sinus	32.8	0.1	remove	air at the top edge above the vertex, not a sinus
ct-head-coronal	25	paranasal-sinus	61.8	57.6	remove	air in the temporal bone lateral to the sphenoid (petrous or middle ear), not certainly a paranasal sinus
ct-head-coronal	26	skull	48.7	86.8	remove	dens of C2, a cervical vertebra, not skull
ct-head-coronal	26	skull	48.9	73.7	remove	anterior arch of C1, a cervical vertebra, not skull
ct-head-coronal	26	paranasal-sinus	30.0	57.3	remove	petrous/middle ear air in the temporal bone, not a paranasal sinus
ct-head-coronal	26	paranasal-sinus	32.6	0.1	remove	air at the top edge above the vertex, not a sinus
ct-head-coronal	26	paranasal-sinus	61.9	57.3	remove	petrous/middle ear air in the temporal bone, not a paranasal sinus
ct-head-coronal	26	paranasal-sinus	66.7	60.7	remove	petrous/middle ear air in the temporal bone, not a paranasal sinus
ct-head-coronal	27	skull	31.3	0.4	remove	at the top edge above the vertex, not skull
ct-head-coronal	27	skull	48.6	78.9	remove	C1/C2 below the skull base, not skull
ct-head-coronal	27	skull	50.4	94.5	remove	C2 body, not skull
ct-head-coronal	27	paranasal-sinus	14.0	62.0	remove	external ear canal, not a paranasal sinus
ct-head-coronal	27	paranasal-sinus	21.9	59.0	remove	mastoid/middle ear air, not a paranasal sinus
ct-head-coronal	27	paranasal-sinus	32.5	60.7	remove	petrous/mastoid air, not a paranasal sinus
ct-head-coronal	27	paranasal-sinus	70.7	61.1	remove	mastoid/middle ear air, not a paranasal sinus
ct-head-coronal	28	skull	48.5	82.0	remove	C2 body below the dens, not skull
ct-head-coronal	28	skull	50.8	93.8	remove	C3, a cervical vertebra, not skull
ct-head-coronal	28	paranasal-sinus	19.1	59.6	remove	external ear canal, not a paranasal sinus
ct-head-coronal	28	paranasal-sinus	27.8	58.7	remove	mastoid/middle ear air, not a paranasal sinus
ct-head-coronal	28	paranasal-sinus	72.1	62.2	remove	external ear canal / mastoid air, not a paranasal sinus
ct-head-coronal	28	paranasal-sinus	72.6	58.2	remove	mastoid air cells, not a paranasal sinus
ct-head-coronal	29	skull	27.6	75.2	remove	thin bone below the skull base beside C1 (transverse process of C1 or styloid), not certain
ct-head-coronal	29	skull	49.9	83.9	remove	C2 body, not skull
ct-head-coronal	29	paranasal-sinus	10.2	55.5	remove	air outside the head beside the ear, not a sinus
ct-head-coronal	29	paranasal-sinus	24.7	55.1	remove	mastoid air cells, not a paranasal sinus
ct-head-coronal	29	paranasal-sinus	68.3	67.4	remove	mastoid/petrous air, not a paranasal sinus
ct-head-coronal	29	paranasal-sinus	90.2	60.0	remove	air outside the head beside the ear, not a sinus
ct-head-coronal	30	skull	37.8	92.9	remove	cervical vertebra below the skull base (C1/C2), not skull
ct-head-coronal	30	skull	59.1	87.5	remove	cervical vertebra below the skull base (C1/C2), not skull
ct-head-coronal	30	paranasal-sinus	21.9	56.0	remove	mastoid air cells, not a paranasal sinus
ct-head-coronal	30	paranasal-sinus	23.5	64.2	remove	mastoid air cells, not a paranasal sinus
ct-head-coronal	30	paranasal-sinus	71.4	68.4	remove	mastoid air cells, not a paranasal sinus
ct-head-coronal	30	paranasal-sinus	78.1	70.0	remove	mastoid air cells, not a paranasal sinus
ct-head-coronal	31	skull	38.5	95.6	remove	cervical vertebra below the skull base (C1/C2), not skull
ct-head-coronal	31	skull	59.9	95.2	remove	cervical vertebra below the skull base (C1/C2), not skull
ct-head-coronal	31	paranasal-sinus	21.7	63.6	remove	mastoid air cells, not a paranasal sinus
ct-head-coronal	31	paranasal-sinus	71.5	68.6	remove	mastoid air cells, not a paranasal sinus
ct-head-coronal	31	paranasal-sinus	76.7	68.4	remove	mastoid air cells, not a paranasal sinus
ct-head-coronal	31	paranasal-sinus	81.2	60.6	remove	mastoid air cells, not a paranasal sinus
ct-head-coronal	32	skull	39.9	95.1	remove	cervical vertebra below the skull base (C1/C2), not skull
ct-head-coronal	32	skull	42.1	87.9	remove	cervical vertebra below the skull base (C1/C2), not skull
ct-head-coronal	32	paranasal-sinus	15.6	61.4	remove	mastoid air cells, not a paranasal sinus
ct-head-coronal	32	paranasal-sinus	78.3	58.0	remove	mastoid air cells, not a paranasal sinus
ct-head-coronal	32	paranasal-sinus	80.6	65.6	remove	mastoid air cells, not a paranasal sinus
ct-head-coronal	32	paranasal-sinus	81.5	61.2	remove	mastoid air cells, not a paranasal sinus
ct-head-coronal	33	skull	46.4	95.1	remove	posterior arch of C1 or C2 spinous process below the occiput, not skull
ct-head-coronal	33	skull	48.0	86.3	remove	posterior arch of C1 or C2 spinous process below the occiput, not skull
ct-head-coronal	33	paranasal-sinus	15.5	62.0	remove	mastoid air cells, not a paranasal sinus
ct-head-coronal	33	paranasal-sinus	79.8	66.2	remove	mastoid air cells, not a paranasal sinus
ct-head-coronal	33	paranasal-sinus	80.9	58.7	remove	mastoid air cells, not a paranasal sinus
ct-head-coronal	33	paranasal-sinus	82.1	62.2	remove	mastoid air cells, not a paranasal sinus
ct-head-coronal	34	skull	50.3	87.5	remove	posterior arch of C1 or C2 spinous process below the occiput, not skull
ct-head-coronal	34	skull	55.1	75.4	remove	posterior arch of C1 or C2 spinous process below the occiput, not skull
ct-head-coronal	34	paranasal-sinus	37.6	0.7	remove	air at the top edge above the vertex, not a sinus
ct-head-coronal	34	paranasal-sinus	80.8	64.4	remove	mastoid air cells, not a paranasal sinus
ct-head-coronal	34	paranasal-sinus	81.1	58.6	remove	mastoid air cells, not a paranasal sinus
ct-head-coronal	35	skull	48.5	87.3	remove	posterior arch of C1 or C2 spinous process below the occiput, not skull
ct-head-coronal	35	skull	49.0	75.6	remove	posterior arch of C1 or C2 spinous process below the occiput, not skull
ct-head-coronal	35	paranasal-sinus	39.5	0.4	remove	air at the top edge above the vertex, not a sinus
ct-head-coronal	35	paranasal-sinus	80.7	63.7	remove	mastoid air cells, not a paranasal sinus
ct-head-coronal	35	paranasal-sinus	81.3	57.8	remove	mastoid air cells, not a paranasal sinus
ct-head-coronal	36	skull	48.7	86.3	remove	posterior arch of C1 or C2 spinous process below the occiput, not skull
ct-head-coronal	36	paranasal-sinus	39.7	0.7	remove	air at the top edge above the vertex, not a sinus
ct-head-coronal	36	paranasal-sinus	42.5	0.4	remove	air at the top edge above the vertex, not a sinus
ct-head-coronal	48	skull	53.2	45.1	remove	faint partial-volume smudge at the back of the head, not certainly bone
ct-head-sagittal	1	paranasal-sinus	57.5	55.4	remove	auricle / external ear canal air on a far-lateral slice, not a paranasal sinus
ct-head-sagittal	2	paranasal-sinus	57.7	55.7	remove	auricle / external ear canal air on a far-lateral slice, not a paranasal sinus
ct-head-sagittal	3	paranasal-sinus	54.9	60.0	remove	auricle / external ear canal air on a far-lateral slice, not a paranasal sinus
ct-head-sagittal	3	paranasal-sinus	57.3	55.5	remove	auricle / external ear canal air on a far-lateral slice, not a paranasal sinus
ct-head-sagittal	4	skull	33.9	81.9	remove	on the horizontal streak artefact at the skin edge, no bone under the pin
ct-head-sagittal	4	paranasal-sinus	54.9	60.0	remove	auricle / external ear canal air on a far-lateral slice, not a paranasal sinus
ct-head-sagittal	5	skull	33.7	81.9	remove	on the horizontal streak artefact at the skin edge, no bone under the pin
ct-head-sagittal	5	paranasal-sinus	54.2	62.0	remove	external ear canal, not a paranasal sinus
ct-head-sagittal	5	paranasal-sinus	54.7	60.0	remove	external ear canal, not a paranasal sinus
ct-head-sagittal	6	skull	47.8	60.8	remove	faint low-density blob below the zygomatic arch, not certainly bone
ct-head-sagittal	6	paranasal-sinus	54.4	62.0	remove	external ear canal, not a paranasal sinus
ct-head-sagittal	6	paranasal-sinus	54.9	59.7	remove	external ear canal, not a paranasal sinus
ct-head-sagittal	6	paranasal-sinus	64.3	61.4	remove	mastoid air cells, not a paranasal sinus
ct-head-sagittal	7	skull	33.7	81.9	remove	on the horizontal streak artefact at the skin edge, no bone under the pin
ct-head-sagittal	7	paranasal-sinus	54.9	62.0	remove	external ear canal, not a paranasal sinus
ct-head-sagittal	7	paranasal-sinus	55.1	59.4	remove	external ear canal, not a paranasal sinus
ct-head-sagittal	7	paranasal-sinus	65.0	57.4	remove	mastoid air cells, not a paranasal sinus
ct-head-sagittal	7	paranasal-sinus	65.0	61.0	remove	mastoid air cells, not a paranasal sinus
ct-head-sagittal	8	paranasal-sinus	54.9	62.0	remove	external ear canal, not a paranasal sinus
ct-head-sagittal	8	paranasal-sinus	55.1	59.2	remove	external ear canal, not a paranasal sinus
ct-head-sagittal	8	paranasal-sinus	64.5	60.7	remove	mastoid air cells, not a paranasal sinus
ct-head-sagittal	8	paranasal-sinus	65.0	54.5	remove	mastoid air cells, not a paranasal sinus
ct-head-sagittal	9	skull	33.5	81.9	remove	on the horizontal streak artefact, no bone under the pin
ct-head-sagittal	9	paranasal-sinus	55.1	59.1	remove	external ear canal / middle ear in the temporal bone, not a paranasal sinus
ct-head-sagittal	9	paranasal-sinus	55.1	62.0	remove	external ear canal / middle ear in the temporal bone, not a paranasal sinus
ct-head-sagittal	9	paranasal-sinus	62.2	63.6	remove	mastoid air cells, not a paranasal sinus
ct-head-sagittal	9	paranasal-sinus	65.3	54.5	remove	mastoid air cells, not a paranasal sinus
ct-head-sagittal	10	paranasal-sinus	31.0	82.3	remove	on the horizontal streak artefact, not a sinus
ct-head-sagittal	10	paranasal-sinus	55.3	59.0	remove	external ear canal / middle ear in the temporal bone, not a paranasal sinus
ct-head-sagittal	10	paranasal-sinus	60.0	56.0	remove	mastoid air cells, not a paranasal sinus
ct-head-sagittal	10	paranasal-sinus	61.6	63.6	remove	mastoid air cells, not a paranasal sinus
ct-head-sagittal	11	skull	33.4	81.6	remove	on the horizontal streak artefact, no bone under the pin
ct-head-sagittal	11	paranasal-sinus	31.1	82.6	remove	on the horizontal streak artefact, not a sinus
ct-head-sagittal	11	paranasal-sinus	55.2	58.8	remove	external ear canal / middle ear in the temporal bone, not a paranasal sinus
ct-head-sagittal	11	paranasal-sinus	56.7	54.9	remove	mastoid air cells, not a paranasal sinus
ct-head-sagittal	11	paranasal-sinus	60.2	64.2	remove	mastoid air cells, not a paranasal sinus
ct-head-sagittal	12	paranasal-sinus	31.1	82.6	remove	on the horizontal streak artefact, not a sinus
ct-head-sagittal	12	paranasal-sinus	55.9	58.7	remove	external ear canal / middle ear in the temporal bone, not a paranasal sinus
ct-head-sagittal	13	paranasal-sinus	31.1	82.6	remove	on the horizontal streak artefact, not a sinus
ct-head-sagittal	13	paranasal-sinus	54.6	58.2	remove	petrous/middle ear air in the temporal bone, not a paranasal sinus
ct-head-sagittal	14	paranasal-sinus	35.2	80.3	remove	on the horizontal streak artefact, not a sinus
ct-head-sagittal	14	paranasal-sinus	52.5	57.3	remove	petrous/middle ear air in the temporal bone, not a paranasal sinus
ct-head-sagittal	15	paranasal-sinus	33.7	80.9	remove	on the horizontal streak artefact, not a sinus
ct-head-sagittal	15	paranasal-sinus	54.8	60.7	remove	petrous/middle ear air in the temporal bone, not a paranasal sinus
ct-head-sagittal	16	skull	32.9	84.9	remove	at the molars with metal fillings, not certainly bone of the skull
ct-head-sagittal	16	paranasal-sinus	33.8	80.6	remove	on the horizontal streak artefact, not a sinus
ct-head-sagittal	16	paranasal-sinus	54.1	60.7	remove	petrous/middle ear air in the temporal bone, not a paranasal sinus
ct-head-sagittal	17	skull	27.2	87.8	remove	at the teeth with metal fillings, not certainly bone of the skull
ct-head-sagittal	17	skull	58.7	76.2	remove	C1/C2 cervical spine below the skull base, not skull
ct-head-sagittal	17	skull	62.2	96.9	remove	C1/C2 cervical spine below the skull base, not skull
ct-head-sagittal	17	paranasal-sinus	31.0	80.3	remove	air between the teeth on the streak artefact, not a sinus
ct-head-sagittal	17	paranasal-sinus	43.1	0.4	remove	air at the top edge above the vertex, not a sinus
ct-head-sagittal	18	skull	27.7	90.7	remove	at the teeth with metal fillings, not certainly bone of the skull
ct-head-sagittal	18	skull	59.7	70.2	remove	C1/C2 cervical spine below the skull base, not skull
ct-head-sagittal	18	skull	61.2	87.1	remove	C1/C2 cervical spine below the skull base, not skull
ct-head-sagittal	18	paranasal-sinus	31.7	82.3	remove	air between the teeth on the streak artefact, not a sinus
ct-head-sagittal	18	paranasal-sinus	33.9	81.9	remove	air between the teeth on the streak artefact, not a sinus
ct-head-sagittal	19	skull	23.0	89.0	remove	at the teeth with metal fillings, not certainly bone of the skull
ct-head-sagittal	19	skull	61.9	93.8	remove	C1/C2 cervical spine below the skull base, not skull
ct-head-sagittal	19	paranasal-sinus	69.8	0.4	remove	air at the top edge above the vertex, not a sinus
ct-head-sagittal	20	skull	56.8	83.1	remove	C1/C2 cervical spine below the skull base, not skull
ct-head-sagittal	20	paranasal-sinus	21.3	58.4	remove	small air pocket at the front of the maxilla (anterior maxillary recess or nasal cavity), not certain
ct-head-sagittal	20	paranasal-sinus	34.3	58.3	remove	air space with a turbinate (nasal cavity or medial maxillary sinus), not certain
ct-head-sagittal	21	skull	56.5	83.1	remove	C1 anterior arch / C2 below the skull base, not skull
ct-head-sagittal	21	paranasal-sinus	21.1	58.6	remove	small air pocket at the front of the maxilla (anterior maxillary recess or nasal cavity), not certain
ct-head-sagittal	22	skull	56.2	83.0	remove	C1 anterior arch / C2 below the skull base, not skull
ct-head-sagittal	23	skull	55.5	76.2	remove	C1 anterior arch / C2 below the skull base, not skull
ct-head-sagittal	23	paranasal-sinus	8.7	65.1	remove	air in the nostril (nasal vestibule), not a paranasal sinus
ct-head-sagittal	24	skull	55.5	75.8	remove	C1 anterior arch / C2 below the skull base, not skull
ct-head-sagittal	24	paranasal-sinus	7.6	64.4	remove	air in the nostril (nasal vestibule), not a paranasal sinus
ct-head-sagittal	25	skull	57.1	83.4	remove	C1/C2 cervical spine below the skull base, not skull
ct-head-sagittal	25	paranasal-sinus	24.7	76.2	remove	air in the oral cavity under the palate, not a sinus
ct-head-sagittal	26	skull	58.3	93.1	remove	C1/C2 cervical spine below the skull base, not skull
ct-head-sagittal	27	skull	57.2	82.9	remove	C1/C2 cervical spine below the skull base, not skull
ct-head-sagittal	27	paranasal-sinus	7.0	64.4	remove	air in the nostril (nasal vestibule), not a paranasal sinus
ct-head-sagittal	28	skull	56.0	76.0	remove	C1/C2 cervical spine below the skull base, not skull
ct-head-sagittal	28	skull	63.5	86.4	remove	C1/C2 cervical spine below the skull base, not skull
ct-head-sagittal	29	skull	21.0	90.8	remove	on a lower tooth, not bone of the skull
ct-head-sagittal	29	skull	56.9	74.2	remove	C1 lateral mass / C2 below the skull base, not skull
ct-head-sagittal	29	skull	60.9	86.1	remove	C1 lateral mass / C2 below the skull base, not skull
ct-head-sagittal	30	skull	23.6	90.3	remove	on a lower tooth, not bone of the skull
ct-head-sagittal	30	skull	59.0	71.6	remove	C1 lateral mass / C2 below the skull base, not skull
ct-head-sagittal	30	skull	61.0	86.7	remove	C1 lateral mass / C2 below the skull base, not skull
ct-head-sagittal	31	skull	33.2	77.6	remove	at the teeth with metal fillings, not certainly bone of the skull
ct-head-sagittal	31	skull	59.0	73.5	remove	C1 lateral mass / C2 below the skull base, not skull
ct-head-sagittal	31	paranasal-sinus	51.4	57.4	remove	petrous/middle ear air in the temporal bone, not a paranasal sinus
ct-head-sagittal	32	skull	34.5	86.5	remove	at the teeth with metal fillings, not certainly bone of the skull
ct-head-sagittal	32	paranasal-sinus	36.5	83.6	remove	on the horizontal streak artefact, not a sinus
ct-head-sagittal	32	paranasal-sinus	51.8	57.5	remove	petrous/middle ear air in the temporal bone, not a paranasal sinus
ct-head-sagittal	33	skull	34.9	86.3	remove	on a metal-filled tooth, not bone of the skull
ct-head-sagittal	33	skull	55.9	75.9	remove	small bone below the skull base (styloid or C1 transverse process), not certain
ct-head-sagittal	33	paranasal-sinus	28.1	84.9	remove	on the horizontal streak artefact, not a sinus
ct-head-sagittal	33	paranasal-sinus	30.0	83.6	remove	on the horizontal streak artefact, not a sinus
ct-head-sagittal	34	skull	36.2	85.1	remove	at the teeth in the streak artefact, not certainly bone of the skull
ct-head-sagittal	34	paranasal-sinus	32.9	83.9	remove	on the horizontal streak artefact, not a sinus
ct-head-sagittal	34	paranasal-sinus	34.5	81.6	remove	on the horizontal streak artefact, not a sinus
ct-head-sagittal	35	paranasal-sinus	55.0	61.2	remove	petrous/middle ear air in the temporal bone, not a paranasal sinus
ct-head-sagittal	36	paranasal-sinus	55.0	61.0	remove	petrous/middle ear air in the temporal bone, not a paranasal sinus
ct-head-sagittal	36	paranasal-sinus	61.4	68.6	remove	petrous/middle ear air in the temporal bone, not a paranasal sinus
ct-head-sagittal	37	paranasal-sinus	61.7	68.6	remove	mastoid air cells, not a paranasal sinus
ct-head-sagittal	38	paranasal-sinus	56.0	62.6	remove	mastoid air cells, not a paranasal sinus
ct-head-sagittal	38	paranasal-sinus	57.1	58.4	remove	mastoid air cells, not a paranasal sinus
ct-head-sagittal	39	paranasal-sinus	31.8	82.1	remove	on the horizontal streak artefact, not a sinus
ct-head-sagittal	39	paranasal-sinus	55.7	62.6	remove	mastoid air cells, not a paranasal sinus
ct-head-sagittal	39	paranasal-sinus	61.5	68.4	remove	mastoid air cells, not a paranasal sinus
ct-head-sagittal	39	paranasal-sinus	62.8	57.4	remove	mastoid air cells, not a paranasal sinus
ct-head-sagittal	40	skull	34.9	81.6	remove	on the horizontal streak artefact, no bone under the pin
ct-head-sagittal	40	paranasal-sinus	55.7	62.7	remove	mastoid air cells, not a paranasal sinus
ct-head-sagittal	40	paranasal-sinus	61.3	69.7	remove	mastoid air cells, not a paranasal sinus
ct-head-sagittal	40	paranasal-sinus	64.4	58.0	remove	mastoid air cells, not a paranasal sinus
ct-head-sagittal	40	paranasal-sinus	65.2	65.4	remove	mastoid air cells, not a paranasal sinus
ct-head-sagittal	41	skull	50.4	12.6	remove	scalp soft tissue above the vault, no bone under the pin
ct-head-sagittal	41	paranasal-sinus	64.4	61.4	remove	mastoid air cells, not a paranasal sinus
ct-head-sagittal	41	paranasal-sinus	65.1	66.1	remove	mastoid air cells, not a paranasal sinus
ct-head-sagittal	41	paranasal-sinus	67.9	59.2	remove	mastoid air cells, not a paranasal sinus
ct-head-sagittal	41	paranasal-sinus	68.2	64.4	remove	mastoid air cells, not a paranasal sinus
ct-head-sagittal	42	paranasal-sinus	55.5	63.4	remove	external ear canal, not a paranasal sinus
ct-head-sagittal	42	paranasal-sinus	65.3	66.3	remove	mastoid air cells, not a paranasal sinus
ct-head-sagittal	42	paranasal-sinus	68.2	59.4	remove	mastoid air cells, not a paranasal sinus
ct-head-sagittal	42	paranasal-sinus	68.3	64.3	remove	mastoid air cells, not a paranasal sinus
ct-head-sagittal	43	skull	35.8	81.6	remove	on the horizontal streak artefact, no bone under the pin
